,ep_id,description,directors,writers
162,08x10,Special Agents Mulder and Scully arrive in Springfield after Homer claims to have seen an alien.,Steven Dean Moore,"Matt Groening, James L. Brooks, Sam Simon"
163,08x11,"Marge enters the pretzel vending business, but when she fails, Homer recruits some help from the mob.",Chuck Sheetz,"Matt Groening, James L. Brooks, Sam Simon"
164,08x12,Homer and Mr. Burns get trapped in a snowed-in cabin during a company retreat.,Mark Kirkland,"Matt Groening, James L. Brooks, Sam Simon"
165,08x13,"Marge is stressed from motherhood and hires a British nanny to help out around the house, who struggles to teach Bart and Lisa how to behave.",Chuck Sheetz,"Matt Groening, James L. Brooks, Sam Simon"
166,08x14,"Homer is cast as Poochie, a new ""Itchy and Scratchy"" character designed to reverse declining ratings; a hip college student moves in with the Simpsons.",Steven Dean Moore,"Matt Groening, James L. Brooks, Sam Simon"
167,08x15,"After Marge befriends John, a gay store owner, Homer worries that his presence will have a negative effect on Bart's sexuality.",Mike B. Anderson,"Matt Groening, James L. Brooks, Sam Simon"
168,08x16,Bart suspects a paroled Sideshow Bob is up to his old tricks when he is hired by his brother Cecil to assist in the construction of a dam.,Pete Michels,"Matt Groening, James L. Brooks, Sam Simon"
169,08x17,Bart is outraged when Lisa becomes his babysitter.,Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
170,08x18,"After alcohol is banned in Springfield, Homer adopts the moniker of the ""Beer Baron"" to bootleg liquor, prompting an investigation from an uptight Treasury agent.",Bob Anderson,"Matt Groening, James L. Brooks, Sam Simon"
171,08x19,"Bart discovers Principal Skinner and Mrs Krabappel kissing, and it's not long before the whole town knows of their secret affair.",Susie Dietter,"Matt Groening, James L. Brooks, Sam Simon"
172,08x20,"When the items Bart purchased with a fake credit card are repossessed, he claims that Santa's Little Helper is the dog he bought instead of his new pet, Laddie.",Dominic Polcino,"Matt Groening, James L. Brooks, Sam Simon"
173,08x21,Burns loses his fortune and recruits Lisa to help him get it back.,Mark Kirkland,"Matt Groening, James L. Brooks, Sam Simon"
174,08x22,Marge becomes a church counselor; Homer discovers his face on a Japanese detergent logo.,Steven Dean Moore,"Matt Groening, James L. Brooks, Sam Simon"
175,08x23,Homer's laziness begets the ire of his industrious but arrogant new co-worker Frank Grimes; Bart buys a run-down factory for a dollar.,Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
176,08x24,"Troy McClure presents three spinoffs: ""Chief Wiggins, P.I.,"" ""The Love-Matic Grandpa,"" and ""The Simpson Family Smile-Time Variety Hour.""",Neil Affleck,"Matt Groening, James L. Brooks, Sam Simon"
177,08x25,"Bart is sent to a military school to be disciplined; Lisa, seeking a challenge, enrolls with him, but faces discrimination as the school's only girl cadet.",Mike B. Anderson,"Matt Groening, James L. Brooks, Sam Simon"
178,09x01,"Homer must travel to New York to get his car back, which is illegally parked at World Trade Center Plaza.",Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
179,09x02,"At his 20th anniversary celebration as school principal, Principal Skinner is discovered to be an imposter of the real Seymour Skinner.",Steven Dean Moore,"Matt Groening, James L. Brooks, Sam Simon"
180,09x03,"Homer recounts the story of Bart's first day of school, which corresponds with the story of how Lisa got her saxophone.",Dominic Polcino,"Matt Groening, James L. Brooks, Sam Simon"
181,09x04,Homer battles mutants after Springfield is annihilated by a neutron bomb; Bart has his DNA mixed with a fly; Marge is revealed to be a witch in colonial Springfield.,"Jim Reardon, Mark Kirkland","Matt Groening, James L. Brooks, Sam Simon"
182,09x05,"After a massive soccer riot, Homer purchases a gun to protect the family.","Pete Michels, Jim Reardon","Matt Groening, James L. Brooks, Sam Simon"
183,09x06,"A damning report on childhood obesity in Springfield leads to the formation of a pee-wee football team. After belittling Ned Flanders, Homer ends up coaching the team, but his favoring of Bart makes him unpopular.","Dominic Polcino, Jim Reardon","Matt Groening, James L. Brooks, Sam Simon"
184,09x07,"Apu receives a letter from his mother stating that it's time for him fulfilled his arranged marriage obligation, he pretends Marge is his wife.","Jim Reardon, Steven Dean Moore","Matt Groening, James L. Brooks, Sam Simon"
185,09x08,Townspeople believe Lisa has unearthed the fossiled remains of a angel.,"Neil Affleck, Jim Reardon","Matt Groening, James L. Brooks, Sam Simon"
186,09x09,Marge becomes a real-estate agent.,"Jim Reardon, Swinton O. Scott III","Matt Groening, James L. Brooks, Sam Simon"
187,09x10,"When Bart accidentally burns down the family's Christmas tree and gifts, he claims that a robber stole everything. As a result, the town gets them a new tree and pitches in to raise funds.","Jim Reardon, Bob Anderson","Matt Groening, James L. Brooks, Sam Simon"
188,09x11,"Homer is disappointed when the western he rented turns out to be a musical, so the family reminds him of the musical moments in the show's history.","Jim Reardon, Mark Ervin","Matt Groening, James L. Brooks, Sam Simon"
189,09x12,"Bart and Homer befriend two carnies and invite them to stay with them, but the carnies soon swindle the Simpsons out of their house.","Jim Reardon, Mark Kirkland","Matt Groening, James L. Brooks, Sam Simon"
190,09x13,An evil cult called the Movementarians brainwashes the citizens of Springfield and it's up to Marge to get them back.,"Jim Reardon, Steven Dean Moore","Matt Groening, James L. Brooks, Sam Simon"
191,09x14,"While the kids become stranded on a desert island, Homer attempts to cash in on the Internet.","Pete Michels, Jim Reardon","Matt Groening, James L. Brooks, Sam Simon"
192,09x15,"After a disastrous performance, Krusty changes his image and becomes an edgy stand-up.","Jim Reardon, Mike B. Anderson","Matt Groening, James L. Brooks, Sam Simon"
193,09x16,"Homer and Moe attempt insurance fraud so that Moe can support his new girlfriend. When Homer ends up in jail, Moe has to decide whether or not to come forward.","Dominic Polcino, Jim Reardon","Matt Groening, James L. Brooks, Sam Simon"
194,09x17,"Lisa fears she is losing her intelligence when she learns about the fabled Simpson gene. Meanwhile, Jasper freezes himself in the Kwik-E-Mart freezer.",Susie Dietter,"Matt Groening, James L. Brooks, Sam Simon"
195,09x18,"Bart is reluctant to hang out with Ralph Wiggum, until he gains access to Chief Wiggum's master key to the city.","Neil Affleck, Jim Reardon","Matt Groening, James L. Brooks, Sam Simon"
196,09x19,Homer causes an international incident after he joins the Naval reserves.,Milton Gray,"Matt Groening, James L. Brooks, Sam Simon"
197,09x20,"Homer is forced to spy for the IRS after an audit. But when he is asked to retrieve a trillion dollar bill from Mr. Burns, he switches sides and the two flee to Cuba for refuge.","Jim Reardon, Swinton O. Scott III","Matt Groening, James L. Brooks, Sam Simon"
198,09x21,Bart and Lisa become locked in competition when they anchor a children's news program; Homer adopts a helper monkey.,"Jim Reardon, Mark Kirkland","Matt Groening, James L. Brooks, Sam Simon"
199,09x22,Homer becomes the sanitation commissioner for Springfield. His ineptitude pollutes the town and leads to a drastic solution.,Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
200,09x23,"After humiliating Bart at a church picnic, Homer resolves to get in shape. Soon, he is contacted by an energy bar company that wants him to climb a mountain as a promotion.","Jim Reardon, Steven Dean Moore","Matt Groening, James L. Brooks, Sam Simon"
201,09x24,Lisa gets lost after she tries to take a bus to a museum.,"Pete Michels, Jim Reardon","Matt Groening, James L. Brooks, Sam Simon"
202,09x25,Homer and Marge's attempt to spice up their marriage leads to the couple being chased naked through Springfield.,"Jim Reardon, Klay Hall","Matt Groening, James L. Brooks, Sam Simon"
203,10x01,Homer and Bart try to start their own grease business; Lisa organizes a school dance.,"Dominic Polcino, Jim Reardon","Matt Groening, James L. Brooks, Sam Simon"
204,10x02,Homer's midlife crisis leads to a disastrous attempt at being an inventor.,"Jim Reardon, Mark Kirkland","Matt Groening, James L. Brooks, Sam Simon"
205,10x03,"When Bart accidentally kills a mother bird, he tries to make amends by raising the eggs.","Jim Reardon, Steven Dean Moore","Matt Groening, James L. Brooks, Sam Simon"
206,10x04,Homer receives an evil hair transplant; Bart and Lisa get trapped in an Itchy and Scratchy cartoon; Maggie is revealed to be an alien.,"Jim Reardon, Steven Dean Moore","Matt Groening, James L. Brooks, Sam Simon"
207,10x05,Homer becomes a Hollywood insider when he befriends Alec Baldwin and Kim Basinger.,"Pete Michels, Jim Reardon","Matt Groening, James L. Brooks, Sam Simon"
208,10x06,Homer becomes a hippie after a revelation about his middle name.,"Jim Reardon, Mark Kirkland, Matthew Nastuk","Matt Groening, James L. Brooks, Sam Simon"
209,10x07,"When Lisa cheats on a test, she has a moral crisis when her perfect score qualifies the school for grant money; Homer adopts a lobster as a pet.","Jim Reardon, Bob Anderson","Matt Groening, James L. Brooks, Sam Simon"
210,10x08,Homer gets cold feet before a transplant operation which could save Grampa's life.,"Jim Reardon, Mike B. Anderson","Matt Groening, James L. Brooks, Sam Simon"
211,10x09,Homer deals with corruption when he becomes Mayor Quimby's bodyguard.,"Jim Reardon, Swinton O. Scott III","Matt Groening, James L. Brooks, Sam Simon"
212,10x10,"When Homer takes Ned to Las Vegas in an attempt to get him to loosen up, the two end up drunkenly marrying a pair of cocktail waitresses.","Jim Reardon, Neil Affleck","Matt Groening, James L. Brooks, Sam Simon"
213,10x11,The children of Springfield revolt after a curfew is enforced.,"Jim Reardon, Mark Ervin","Matt Groening, James L. Brooks, Sam Simon"
214,10x12,"Homer and his friends head to the Super Bowl, but are forced to sneak in when they discover their tickets are counterfeit.","Jim Reardon, Steven Dean Moore","Matt Groening, James L. Brooks, Sam Simon"
215,10x13,"Homer changes his name to ""Max Power"" after discovering that he shares his name with a dimwitted TV character.","Pete Michels, Jim Reardon","Matt Groening, James L. Brooks, Sam Simon"
216,10x14,The husbands of Springfield plot revenge after Apu outshines them on Valentine's Day.,"Jim Reardon, Bob Anderson","Matt Groening, James L. Brooks, Sam Simon"
217,10x15,Marge's new SUV gives her a potent case of road rage.,"Jim Reardon, Mark Kirkland","Matt Groening, James L. Brooks, Sam Simon"
218,10x16,"Lisa feels that her relationship with her father will never be close, and she develops stress-induced stomach pains; Marge inadvertently knocks out Milhouse.","Jim Reardon, Matthew Nastuk","Matt Groening, James L. Brooks, Sam Simon"
219,10x17,Homer takes Bart with him on a cross-country delivery on behalf of a trucker who died before completing it; Marge and Lisa experience problems with their new novelty doorbell.,"Jim Reardon, Swinton O. Scott III","Matt Groening, James L. Brooks, Sam Simon"
220,10x18,Three famous religious stories are retold Simpsons style as the family nods off at church.,"Jim Reardon, Nancy Kruse","Matt Groening, James L. Brooks, Sam Simon"
221,10x19,Homer becomes the talk of the Springfield art community when a failed barbecue pit he worked on is mistaken for an art project.,"Jim Reardon, Steven Dean Moore","Matt Groening, James L. Brooks, Sam Simon"
222,10x20,Bart is punished with community service at the Retirement Castle after he ruins Springfield's chances of hosting the Olympics.,"Jim Reardon, Mark Kirkland","Matt Groening, James L. Brooks, Sam Simon"
223,10x21,"When a wealthy man moves to Springfield, Mr. Burns begins to feel that he is losing his grasp on the citizens and decides to enlist the help of Homer.","Jim Reardon, Mark Ervin","Matt Groening, James L. Brooks, Sam Simon"
224,10x22,"Lisa is invited to join the Springfield chapter of MENSA and after Mayor Quimby flees, the group ends up running the city. Meanwhile, Homer poses for a series of erotic photos.","Pete Michels, Jim Reardon","Matt Groening, James L. Brooks, Sam Simon"
225,10x23,The Simpsons must perform on a Japanese game show after Homer loses their money on a vacation.,Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
226,11x01,"Convinced he's the only man with guts to tell him the truth, Mel Gibson insists Homer accompanies him in Hollywood to help fix his newest film project.","Jim Reardon, Steven Dean Moore","Matt Groening, James L. Brooks, Sam Simon"
227,11x02,"Bart is put on medication to control his behavior, but the pills cause him to become paranoid and insane.","Jim Reardon, Mark Kirkland","Matt Groening, James L. Brooks, Sam Simon"
228,11x03,"When Homer is hired as a local food critic by a newspaper in Springfield, he finds himself in deep trouble after his reviews turn out to be too critical.","Jim Reardon, Nancy Kruse","Matt Groening, James L. Brooks, Sam Simon"
229,11x04,The Simpsons attempt to cover up their accidental murder of Ned Flanders. Bart and Lisa acquire super powers. An electronic apocalypse threatens Springfield.,"Pete Michels, Jim Reardon","Matt Groening, James L. Brooks, Sam Simon"
230,11x05,Homer cowards out of a pistol-duel and hides out with the rest of the family on a country farm.,"Jim Reardon, Bob Anderson","Matt Groening, James L. Brooks, Sam Simon"
231,11x06,Homer becomes a minor celebrity around Springfield after bowling a perfect game.,"Jim Reardon, Mike B. Anderson","Matt Groening, James L. Brooks, Sam Simon"
232,11x07,Apu struggles with fatherhood after Manjula gives birth to octuplets.,"Jim Reardon, Steven Dean Moore","Matt Groening, James L. Brooks, Sam Simon"
233,11x08,"Homer's attempt at creating a motorcycle gang attracts a real gang, who kidnap Marge.","Neil Affleck, Jim Reardon","Matt Groening, James L. Brooks, Sam Simon"
234,11x09,A toy company purchases Springfield Elementary and uses the student body as a focus group for their new Christmas toy Funzo.,"Jim Reardon, Matthew Nastuk","Matt Groening, James L. Brooks, Sam Simon"
235,11x10,Lisa finds out how rough Marge has it when her mom is in traction and she becomes the woman of the house. Homer and Bart's antics get her so worked up she conspires to teach them a lesson.,"Jim Reardon, Mark Kirkland","Matt Groening, James L. Brooks, Sam Simon"
236,11x11,Bart is led to believe he has special healing powers after a tent revival.,"Jim Reardon, Nancy Kruse","Matt Groening, James L. Brooks, Sam Simon"
237,11x12,Homer receives responsibility for Mr. Burns' mansion when he is on leave and takes Burns' yacht to international waters to have a party.,"Jim Reardon, Mike Frank Polcino","Matt Groening, James L. Brooks, Sam Simon"
238,11x13,The Simpsons get an abused horse and make him a contender in horse racing. Homer finds out a secret conspiracy about jockeys. Lisa tries to reach President Clinton when the results of a school band talent competition seem tainted.,"Jim Reardon, Lance Kramer","Matt Groening, James L. Brooks, Sam Simon"
239,11x14,Ned deals with his grief after Maude's untimely death.,Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
240,11x15,"When Homer is wanted dead for reneging on a 10,000 dollar pledge to PBS, Reverend Lovejoy sets him up for missionary work in the South Pacific until the heat dies down.","Jim Reardon, Steven Dean Moore","Matt Groening, James L. Brooks, Sam Simon"
241,11x16,"Plastic surgery not only transforms Moe the Bartender from ugly to hunky, it helps gets him a job on a hit daytime drama.","Jim Reardon, Mark Kirkland","Matt Groening, James L. Brooks, Sam Simon"
242,11x17,Bart gets a glimpse of the future while the family is on vacation at an Indian casino.,"Jim Reardon, Michael Marcantel","Matt Groening, James L. Brooks, Sam Simon"
243,11x18,Homer doesn't like it when Barney quits drinking; Bart and Lisa get into trouble when they enter a photo contest for the new phone book cover.,"Neil Affleck, Jim Reardon","Matt Groening, James L. Brooks, Sam Simon"
244,11x19,"Fearing he only has three years to live, Homer takes the family on a vacation to Florida, where they become fugitives after seemingly killing a famous alligator.","Jim Reardon, Jen Kamerman","Matt Groening, James L. Brooks, Sam Simon"
245,11x20,Lisa has difficulties learning to tap dance; Bart and Milhouse ditch summer camp to spend a week living in the mall.,"Jim Reardon, Nancy Kruse","Matt Groening, James L. Brooks, Sam Simon"
246,11x21,"Everybody loves the new Simpsons' house guest Becky. Except Marge, who thinks Becky wants to kill her.","Jim Reardon, Steven Dean Moore","Matt Groening, James L. Brooks, Sam Simon"
247,11x22,"Fans are invited to take a behind-the-scenes look at ""The Simpsons,"" revisiting some of the most memorable experiences the family has been through.","Jim Reardon, Mark Kirkland","Matt Groening, James L. Brooks, Sam Simon"
248,12x01,Homer must do one good deed to get into Heaven; Bart and Lisa encounter a witch in a gingerbread house; Super-intelligent dolphins strike back at humanity.,"Jim Reardon, Matthew Nastuk","Matt Groening, James L. Brooks, Sam Simon"
249,12x02,Springfield is split in two when Homer revolts because his area code is changed; the new town walls itself off from the neighbors.,"Shaun Cashman, Jim Reardon","Matt Groening, James L. Brooks, Sam Simon"
250,12x03,"After he learns he has a daughter, Krusty turns to Homer for parenting advice.","Jim Reardon, Bob Anderson","Matt Groening, James L. Brooks, Sam Simon"
251,12x04,Lisa's crush on an environmental activist inspires her to live in a tree threatened by loggers.,"Jim Reardon, Steven Dean Moore","Matt Groening, James L. Brooks, Sam Simon"
252,12x05,"Desperate for money, Homer accepts payment from Mr. Burns in exchange for humiliating himself.","Neil Affleck, Jim Reardon","Matt Groening, James L. Brooks, Sam Simon"
253,12x06,"Homer's gossip website becomes a huge hit, but when his information runs out he resorts to making up news.","Jim Reardon, Mark Kirkland","Matt Groening, James L. Brooks, Sam Simon"
254,12x07,The whole town of Springfield conspires to teach Homer and Bart a lesson after the pair begin running confidence scams.,"Jim Reardon, Mike Frank Polcino","Matt Groening, James L. Brooks, Sam Simon"
255,12x08,"A freak blizzard traps the students of Springfield Elementary inside their school. Their lives at stake, they are at the mercy of the rescue efforts of a woozy Homer and Ned.","Jim Reardon, Lance Kramer","Matt Groening, James L. Brooks, Sam Simon"
256,12x09,"An X-ray reveals a crayon lodged in Homer's brain. After the crayon is removed, Homer experiences a sudden surge in intelligence, making him closer to Lisa and isolated from his friends.","Jim Reardon, Mike B. Anderson","Matt Groening, James L. Brooks, Sam Simon"
257,12x10,"Marge befriends a convict with an artistic streak. Meanwhile, Homer battles the chiropractic industry after he creates a miracle back pain cure.","Jim Reardon, Bob Anderson","Matt Groening, James L. Brooks, Sam Simon"
258,12x11,Bart and Milhouse are left in charge of the comic book store after Comic Book Guy is hospitalized.,"Jim Reardon, Matthew Nastuk","Matt Groening, James L. Brooks, Sam Simon"
259,12x12,"Homer installs a tennis court in the backyard, but his lousy playing creates a rift in the family.","Jim Reardon, Jen Kamerman","Matt Groening, James L. Brooks, Sam Simon"
260,12x13,When a new television game show grows in popularity and begins to draw away Krusty's TV audience e decided to retire from the television business.,"Jim Reardon, Michael Marcantel","Matt Groening, James L. Brooks, Sam Simon"
261,12x14,"A music producer offers Bart and his friends a chance to participate in an up-and-coming boyband, but the boys are not up to it after making a discovery.","Jim Reardon, Steven Dean Moore","Matt Groening, James L. Brooks, Sam Simon"
262,12x15,Homer is forced to go on a hunger strike by the Springfield Isotopes after uncovering a secret plan to have the baseball team moved to New Mexico.,"Jim Reardon, Nancy Kruse","Matt Groening, James L. Brooks, Sam Simon"
263,12x16,"Problems with a bully lead Lisa to examine just what makes bullies aggressive. Meanwhile, Homer gets into the baby-proofing business.","Jim Reardon, Lauren MacMullan","Matt Groening, James L. Brooks, Sam Simon"
264,12x17,The Simpsons win a trip to Africa after Homer finds a golden animal cracker from the 60's in the loft.,"Jim Reardon, Mark Kirkland","Matt Groening, James L. Brooks, Sam Simon"
265,12x18,"Homer's rush to the hospital to re-attach his severed thumb, Lisa's rush to school to win the science fair, and Bart's run-in with an illegal fireworks scheme interconnect from their point of view.","Jim Reardon, Mike B. Anderson","Matt Groening, James L. Brooks, Sam Simon"
266,12x19,"With Homer's help, Flanders tries to establish a Christian theme park based on drawings in Maude's sketch book.","Chuck Sheetz, Jim Reardon","Matt Groening, James L. Brooks, Sam Simon"
267,12x20,"After a debilitating injury forces him to stay indoors, Homer begins a daycare center.","Jim Reardon, Mike Frank Polcino","Matt Groening, James L. Brooks, Sam Simon"
268,12x21,"A hobo tells the Simpsons tall tales on a train ride to Delaware. In the first story, Homer is outcast from society as Paul Bunyan. Then, Lisa travels the country planting trees as Connie Appleseed. Finally, Bart and Nelson raft down the Mississippi as Tom Sawyer and Huck Finn.","Jim Reardon, Bob Anderson","Matt Groening, James L. Brooks, Sam Simon"
269,13x01,A gypsy puts a curse on Homer; The Simpsons' new automated house malfunctions and tries to kill Homer; Bart and Lisa attend a school for wizards.,Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
270,13x02,"After Bart takes a joyride in a police car, a judge orders him to be tethered to Homer at all times.","Jim Reardon, Mark Kirkland","Matt Groening, James L. Brooks, Sam Simon"
271,13x03,Homer and his friends are forced to drink in the Simpsons' garage after Moe the Bartender renovates his shady bar into a hipster hangout.,"Jim Reardon, Jen Kamerman","Matt Groening, James L. Brooks, Sam Simon"
272,13x04,Mr. Burns falls in love with a younger woman and recruits Homer to help him impress her.,"Jim Reardon, Lance Kramer","Matt Groening, James L. Brooks, Sam Simon"
273,13x05,A hypnotist uncovers a traumatic experience from Homer's childhood.,"Jim Reardon, Steven Dean Moore","Matt Groening, James L. Brooks, Sam Simon"
274,13x06,"Homer and Bart get careless with a model rocket and accidentally do damage to Springfield's church, but when Mr. Burns offers to commercialize it to repair the destruction, Lisa leaves Christianity behind to become a Buddhist.","Jim Reardon, Steven Dean Moore","Matt Groening, James L. Brooks, Sam Simon"
275,13x07,"A social services officer brings unity to the Simpson family, but their newfound happiness is threatened when the cocktail waitress Homer married in Vegas shows up at their door.","Jim Reardon, Matthew Nastuk","Matt Groening, James L. Brooks, Sam Simon"
276,13x08,Marge rallies for a ban on sugar after Springfield is declared America's fattest city.,"Jim Reardon, Mark Kirkland","Matt Groening, James L. Brooks, Sam Simon"
277,13x09,Marge can't deal with the quiet after Homer has his jaws wired shut.,"Jim Reardon, Nancy Kruse","Matt Groening, James L. Brooks, Sam Simon"
278,13x10,Marge's high school sweetheart Artie Ziff returns and offers Homer a million dollars to spend a weekend with Marge.,"Jim Reardon, Lauren MacMullan","Matt Groening, James L. Brooks, Sam Simon"
279,13x11,"Bart breaks up with his new girlfriend Greta, but gets jealous when she begins dating Milhouse.","Jim Reardon, Mike Frank Polcino","Matt Groening, James L. Brooks, Sam Simon"
280,13x12,Bart meets a retired cowboy movie star and convinces him to make a comeback on The Krusty the Clown Show.,"Jim Reardon, Bob Anderson","Matt Groening, James L. Brooks, Sam Simon"
281,13x13,Abe gets his driver's license back to impress a new woman at the retirement home.,"Jim Reardon, Lance Kramer","Matt Groening, James L. Brooks, Sam Simon"
282,13x14,"Homer reads three stories from an overdue library book, imagining himself as Odysseus, Lisa as Joan of Arc and Bart as Hamlet.","Jim Reardon, Mike B. Anderson","Matt Groening, James L. Brooks, Sam Simon"
283,13x15,"Lisa sponsors an orphan in Brazil, and when he goes missing she convinces the family to go to Brazil to find him. While there, Homer is kidnapped.","Jim Reardon, Steven Dean Moore","Matt Groening, James L. Brooks, Sam Simon"
284,13x16,"After a traumatizing eye injury, Homer becomes a habitual user of medical marijuana.","Jim Reardon, Michael Marcantel","Matt Groening, James L. Brooks, Sam Simon"
285,13x17,"In this clip show, the citizens of Springfield honor Homer Simpsons with a Roast, but the festivities take a turn for the worst when aliens crash it.","Jim Reardon, Mark Kirkland","Matt Groening, James L. Brooks, Sam Simon"
286,13x18,"Bart's comic about Homer becomes a hit on-line, prompting Homer to attempt to control his anger.","Chuck Sheetz, Jim Reardon","Matt Groening, James L. Brooks, Sam Simon"
287,13x19,Apu's marriage is on the rocks after Manjula finds out he cheated on her.,"Jim Reardon, Matthew Nastuk","Matt Groening, James L. Brooks, Sam Simon"
288,13x20,Lisa pretends to be a college student when she befriends two college girls; Bart is forced to live in a plastic bubble after being bitten by a mosquito.,"Jim Reardon, Lauren MacMullan","Matt Groening, James L. Brooks, Sam Simon"
289,13x21,Homer and Marge find themselves on death row after they are framed for murder.,"Jim Reardon, Mike Frank Polcino","Matt Groening, James L. Brooks, Sam Simon"
290,13x22,Homer becomes chief of police after a scandal forces Wiggum out.,"Pete Michels, Jim Reardon","Matt Groening, James L. Brooks, Sam Simon"
291,14x01,Homer clones himself with a magic hammock; Zombie cowboys come back from the dead after Springfield bans guns; The Simpsons family take a vacation on an island where Dr. Hibbert can turn people into animals.,"Jim Reardon, David Silverman","Matt Groening, James L. Brooks, Sam Simon"
292,14x02,"When Homer is secretly videotaped complaining about his family in a taxi, they send him off to a rock and roll fantasy camp so he can try to live his dream.","Jim Reardon, Mike B. Anderson","Matt Groening, James L. Brooks, Sam Simon"
293,14x03,"Bart and Lisa are respectively held back and moved forward one grade, putting them in the same class.","Jim Reardon, Steven Dean Moore","Matt Groening, James L. Brooks, Sam Simon"
294,14x04,Marge accidentally gets breast implants.,Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
295,14x05,The Simpsons family must participate in a reality television show in which they try to live in the same way that the families did in the 1800s.,"Jim Reardon, Mark Kirkland","Matt Groening, James L. Brooks, Sam Simon"
296,14x06,Homer has to use Sideshow Bob in order to track down a potential assassin.,"Jim Reardon, Steven Dean Moore","Matt Groening, James L. Brooks, Sam Simon"
297,14x07,"After Skinner once again has let Mrs. Krabappel down, Bart nominates her for Teacher of the Year. When the nomination is accepted, Skinner tries to get back Krabappel by asking her to marry him.","Jim Reardon, Bob Anderson","Matt Groening, James L. Brooks, Sam Simon"
298,14x08,Homer hires a private detective to learn more about Lisa.,"Jim Reardon, Mark Kirkland","Matt Groening, James L. Brooks, Sam Simon"
299,14x09,Marge takes up body-building to boost her self-esteem after being mugged at the Kwik-E-Mart.,"Pete Michels, Jim Reardon","Matt Groening, James L. Brooks, Sam Simon"
300,14x10,"Homer turns to religion to help him get what he wants, and is soon awarded the church in an injury settlement. Homer then turns the church into his personal party pad, and Reverend Lovejoy leaves Springfield to wallow in its hedonism.","Jim Reardon, Mike Frank Polcino","Matt Groening, James L. Brooks, Sam Simon"
301,14x11,"After finding out Homer squandered his money from a baby commercial, Bart moves out into a loft, and meets skateboarding legend Tony Hawk.","Jim Reardon, Matthew Nastuk","Matt Groening, James L. Brooks, Sam Simon"
302,14x12,"Lisa participates in the Spellympics, but Homer is busy traveling cross-country as Krusty Burger test-markets a new sandwich. Lisa is confident that she will win, until she learns that the contest is rigged against her.","Jim Reardon, Nancy Kruse","Matt Groening, James L. Brooks, Sam Simon"
303,14x13,"Ned Flanders starts dating a famous movie star, but has difficulties with the tabloids following them everywhere.","Jim Reardon, Michael Marcantel","Matt Groening, James L. Brooks, Sam Simon"
304,14x14,The family makes Krusty run for Congress because of air traffic being redirected to fly dangerously close to their house.,"Jim Reardon, Lance Kramer","Matt Groening, James L. Brooks, Sam Simon"
305,14x15,Homer takes over the power plant after tricking Mr. Burns into making him the official owner of the power plant.,"Jim Reardon, Mike B. Anderson","Matt Groening, James L. Brooks, Sam Simon"
306,14x16,Lisa becomes interested in astronomy and starts fighting the light pollution which is preventing her from being able to enjoy her new hobby.,"Jim Reardon, Steven Dean Moore","Matt Groening, James L. Brooks, Sam Simon"
307,14x17,"When Homer finds an old note revealing Marge only married him because she was pregnant with Bart, he moves into a condo with two gay guys.","Jim Reardon, Mark Kirkland","Matt Groening, James L. Brooks, Sam Simon"
308,14x18,"Homer writes a Christmas carol called ""Everybody Hates Ned Flanders,"" which soon becomes so popular that the family decides to leave town for a while.","Jim Reardon, Chris Clements","Matt Groening, James L. Brooks, Sam Simon"
309,14x19,"Homer throws out Santa's Little Helper for not saving him from a fire, but soon the dog becomes Duff's new mascot.","Jim Reardon, Bob Anderson","Matt Groening, James L. Brooks, Sam Simon"
310,14x20,"Because of Homer losing his driver's license, Marge has to drive everyone everywhere, which is so stressful for her that she accidentally runs over Homer leading to the two seeing a marriage counselor.","Pete Michels, Jim Reardon","Matt Groening, James L. Brooks, Sam Simon"
311,14x21,"Bart and Milhouse are forced into community service after destroying Flanders' memorial and join separate community groups, pitting themselves against each other.","Jim Reardon, Mike Frank Polcino","Matt Groening, James L. Brooks, Sam Simon"
312,14x22,"After saving Maggie's life, Moe develops a special bond with her, much to Homer's dismay.","Jim Reardon, Lauren MacMullan","Matt Groening, James L. Brooks, Sam Simon"
313,15x01,"First, Homer kills the Grim Reaper and takes his place in Reaper Madness. Then, Professor Frink's father is revived, only to kill people and steal their organs in Frinkenstein. Finally, Bart and Milhouse get a stop watch that can stop time in Stop the World, I Want To Goof Off.","Jim Reardon, Steven Dean Moore","Matt Groening, James L. Brooks, Sam Simon"
314,15x02,"Homer's mother returns to Springfield, and the city pardons her from the charges against her. Mr Burns is furious about this and makes a plan to get Mona Simpson in prison.","Jim Reardon, Nancy Kruse","Matt Groening, James L. Brooks, Sam Simon"
315,15x03,Lisa feuds with Principal Skinner after being elected school president.,"Jim Reardon, Mike B. Anderson","Matt Groening, James L. Brooks, Sam Simon"
316,15x04,Prime minister Tony Blair welcomes the Simpsons to England where they run into author J.K. Rowling and actor Ian McKellen.,"Jim Reardon, Mark Kirkland","Matt Groening, James L. Brooks, Sam Simon"
